Region,Category,Subcategory,Product,Status,Sales,Target,Profit Margin,Units Sold,Rating,Monthly Trend
North,Electronics,Audio,Wireless Earbuds,Active,125000,100000,0.25,1250,4.8,"85, 92, 105, 110, 118, 125"
North,Electronics,Audio,Noise Cancelling Headset,Active,98000,95000,0.18,780,4.5,"70, 75, 82, 88, 92, 98"
North,Electronics,Computers,Laptop Pro 15,Active,215000,180000,0.22,430,4.7,"120, 135, 150, 175, 190, 215"
North,Electronics,Computers,Desktop Tower,Pending,85000,90000,-0.05,170,3.8,"95, 92, 90, 88, 86, 85"
North,Furniture,Office,Ergonomic Chair,Active,64000,60000,0.15,320,4.4,"50, 52, 55, 58, 60, 64"
North,Furniture,Office,Standing Desk,Critical,32000,45000,-0.12,110,3.2,"45, 42, 38, 35, 34, 32"
South,Electronics,Audio,Bluetooth Speaker,Active,76000,70000,0.20,950,4.3,"60, 62, 65, 70, 72, 76"
South,Electronics,Computers,Tablet Air,Active,110000,100000,0.24,550,4.6,"80, 85, 92, 98, 102, 110"
South,Electronics,Computers,Gaming Monitor,Critical,48000,65000,-0.08,160,3.5,"65, 60, 58, 55, 52, 48"
South,Furniture,Office,Executive Desk,Active,54000,50000,0.12,135,4.1,"40, 42, 45, 48, 50, 54"
South,Furniture,Storage,Filing Cabinet,Pending,22000,25000,-0.04,220,3.7,"25, 24, 24, 23, 22, 22"
East,Electronics,Audio,Soundbar Ultra,Active,142000,120000,0.30,710,4.9,"90, 100, 115, 125, 135, 142"
East,Electronics,Audio,Wired Earphones,Completed,35000,30000,0.10,1400,4.0,"30, 31, 32, 33, 34, 35"
East,Electronics,Computers,Workstation Pro,Active,280000,240000,0.28,280,4.9,"180, 200, 220, 240, 260, 280"
East,Furniture,Office,Mesh Task Chair,Active,88000,80000,0.16,440,4.3,"70, 73, 76, 80, 84, 88"
East,Furniture,Storage,Bookshelf Wooden,Completed,41000,40000,0.08,205,4.2,"38, 39, 40, 40, 41, 41"
West,Electronics,Audio,Studio Headphones,Active,165000,140000,0.26,825,4.8,"110, 120, 135, 145, 155, 165"
West,Electronics,Computers,Ultrabook Slim,Active,195000,175000,0.21,390,4.6,"140, 150, 165, 175, 185, 195"
West,Electronics,Computers,All-in-One PC,Critical,52000,75000,-0.15,104,3.1,"75, 70, 65, 60, 55, 52"
West,Furniture,Office,Conference Table,Active,95000,85000,0.18,95,4.5,"70, 75, 80, 85, 90, 95"
West,Furniture,Storage,Storage Credenza,Pending,38000,42000,-0.06,126,3.6,"42, 41, 40, 39, 38, 38"
West,Furniture,Storage,Steel Shelving,Completed,29000,28000,0.07,290,4.0,"26, 27, 27, 28, 28, 29"
Central,Electronics,Audio,Smart Home Pod,Active,105000,95000,0.23,875,4.6,"75, 80, 86, 92, 98, 105"
Central,Electronics,Computers,Convertible 2-in-1,Active,135000,130000,0.14,337,4.2,"110, 115, 120, 125, 130, 135"
Central,Furniture,Office,Drafting Stool,Pending,27000,30000,-0.02,180,3.9,"30, 29, 29, 28, 28, 27"
